# generated on 2025-09-02 19:11:39.042695736 UTC with Config {startDate = 2021-08-01 00:00:00 UTC, endDate = 2025-08-01 00:00:00 UTC}
githubId,githubUsername,commits,merges
11352905,FriedrichAltheide,39,0
113541944,fwam,11,0
1135582,jpentland,2,0
11361565,aewatt95,1,0
11362326,julienje,1,0
1136288,amerocu,2,0
113629619,rhododendrox,5,0
11363539,renesat,18,0
1136427,leiflm,1,0
11366022,p01arst0rm,4,0
113681527,LowYieldFire,5,0
11370525,walfie,1,0
11376396,Viibrant,1,0
1139171,dsg22,9,0
113953597,compilade,1,0
11395853,viperML,15,0
113966166,imadnyc,11,0
1139752,jahkeup,1,0
1140325,penglei,2,0
114127058,royce-c,1,0
11413574,unfokus,5,0
1141462,agilesteel,28,0
114159,fpletz,274,1685
1141680,thanegill,8,0
1141769,cawilliamson,3,0
11422515,DavSanchez,14,0
1142322,refnil,1,0
1142801,noctarius,1,0
114299552,VictuarVi,3,0
1143191,goofansu,2,0
114455129,jesses-canva,1,0
1145004,AdamSutch,2,0
11456290,exzombie,3,0
11463279,kaldonir,4,0
114638,AmandaCameron,8,0
114689807,C0Florent,2,0
114724657,longregen,1,0
11473063,jansorg,14,0
114744388,bloominstrong,3,0
114845,michaelshmitty,9,0
1148549,edolstra,1340,1582
1149048,florentc,4,0
114918019,Sh0g0-1758,7,0
11493130,AsbjornOlling,4,0
1149355,sergv,16,0
11495017,dcarosone,11,0
115029,piotr152,3,0
11504901,Followin,7,0
115060,mandos,3,0
11507066,abdelq,5,0
115111201,dklyons81,2,0
11512,AlekSi,1,0
1151264,sgraf812,1,0
115141,polarmutex,7,0
115218,makefu,30,0
115233539,donottellmetonottellyou,3,0
115308,sorki,20,0
11532355,erictapen,291,389
1153271,svanderburg,30,21
115328370,witheredsea7df,1,0
115360611,w-lfchen,16,0
1153808,delehef,2,0
115422798,Liassica,3,0
11543269,ostylk,1,0
115441224,maxstrid,3,0
1154569,icecreammatt,2,0
11548989,atagen,9,0
115492109,nachoslover813260,2,0
115494,nicklewis,2,0
1155030,9ary,25,0
1155801,nicoonoclaste,478,258
1156448,ryantrinkle,3,0
115711,bpaulin,3,0
115715554,sg-qwt,14,0
11572618,mdarocha,187,0
115728866,heyimnova,9,0
115761,quentinmit,14,0
115766,aschleck,8,0
115777584,lutzberger,3,0
11579064,alexisquintero,7,0
11579989,NaN-git,34,0
1158172,intelfx,6,0
115821,samrose,1,0
11587657,Scrumplex,630,662
115906319,frozenkro,2,0
116002362,tim-goto,6,0
11607383,ecotechie,1,0
116078858,vgskye,2,0
1160934,ifiokjr,2,0
116099351,skyrina,2,0
11613056,sdier,4,0
11614750,kvendingoldo,3,0
116184,fabaff,25031,17005
11619234,taranarmo,22,0
1162134,illotum,1,0
11631433,whatsthecraic,1,0
11632726,sayanarijit,10,0
11643477,tertsdiepraam,2,0
116499566,one-d-wide,4,0
11650737,mberndt123,10,0
116548943,chillcicada,3,0
11665236,sei40kr,36,0
11667119,MGenerowicz,16,0
116718461,mathunje,1,0
116840915,flashrun24,1,0
1168722,blargg,3,0
11689106,zoenglinghou,1,0
11692649,gflex,1,0
11701776,mbarneyjr,1,0
117019901,idlip,18,0
11705326,ferrine,13,0
11706080,mtesseract,2,0
11718525,pablogsal,1,0
11719476,emattiza,8,0
11725645,benneti,14,0
117323435,Xelden,6,0
1173464,remi-dupre,1,0
1173648,brianmcgee,32,2
1173922,kubeliv,1,0
1173932,kugland,4,0
117403037,EarthGman,2,0
11740700,andreisergiu98,13,0
117428605,anugrahn1,2,0
1174810,abbradar,61,43
117491118,gesperon,4,0
117505144,s0me1newithhand7s,10,0
117518347,midnightveil,2,0
11753414,karpfediem,1,0
117545308,alexanderjkslfj,2,0
1176131,georgewhewell,3,0
11761863,theoparis,5,0
1176328,alisonjenkins,1,0
1177304,mildsunrise,6,0
11774614,timsueberkrueb,1,0
117764,arachnist,9,0
11786225,Titaniumtown,11,0
1178864,dguibert,28,9
117918464,malikwirin,5,0
117930700,Damage6969,1,0
11800204,j-hui,12,0
11801831,BillHuang2001,23,0
1180335,kachick,283,0
118035,MostAwesomeDude,13,0
118041361,fr33zing,1,0
118061,ormandj,1,0
1181,mjm,46,0
118121,denisfalqueto,1,0
1181362,steveej,15,0
1181393,eduarrrd,14,0
11823240,ulucs,2,0
11823547,jakuzure,17,0
11824150,samwightt,1,0
11824817,xvapx,1,0
1183303,truh,7,0
118352823,shhht,2,0
1184334,vencax,1,0
118456155,ActuallyRuben,1,0
118536343,HamelinDavid,1,0
11860038,jmastr,1,0
11862583,yater,1,0
11864,antifuchs,14,0
1186411,xuanduc987,1,0
1186444,jshort,3,0
1186516,fdietze,1,0
118690640,LAURAilway,7,0
1187050,maxhbr,6,0
1187078,zeorin,4,0
118762770,andres-nav,2,0
118801141,SumitKumar-17,1,0
118829,codec,2,0
1188465,rolfschr,10,0
1188977,tssm,8,0
118902463,Dylouwu,3,0
118910916,u2d3rsc0re,2,0
118952911,Seeker0472,1,0
118958751,need-4-sleep,2,0
118960463,physics-enthusiast,1,0
1189739,juboba,7,0
11897699,kukovecz,1,0
1189862,manipuladordedados,15,0
11900869,erikeah,3,0
1190483,auchter,12,0
1190754,Bo98,4,0
1190931,izelnakri,7,0
119095935,9yokuro,2,0
1192563,lamarios,3,0
119358,timsutton,1,0
119473725,tanya1866,19,0
11947756,juliendehos,3,0
119483,ederoyd46,3,0
119488797,NicoElbers,3,0
119492193,Migsej,1,0
1195438,logan12358,1,0
119578282,charging1948,2,0
119710965,justinlime,6,0
119724672,satler-git,2,0
1197406,slinlee,2,0
119752,nerzhul,1,0
119769817,goatastronaut0212,17,0
119812620,hyperpastel,1,0
119850973,amirreza8002,1,0
119854490,cust0dian,1,0
11989040,h0hmj,1,0
119951,kevinmehall,9,0
119966335,eggy111,1,0
11999147,Kasper24,1,0
1200507,minijackson,192,42
12008201,deadwood2,4,0
12011601,hcbt,1,0
12017109,QaidVoid,2,0
120189068,axelkar,10,0
12019211,GoldsteinE,12,0
1202014,FPtje,5,0
120214979,aktaboot,45,0
120221520,0xf09f95b4,4,0
1202371,wirew0rm,7,0
120277625,LazyStability,2,0
120342602,paepckehh,45,0
12038583,matoro,1,0
1204125,sir4ur0n,9,0
120419423,kkoniuszy,12,0
1204409,yodaldevoid,2,0
1204734,ethorsoe,25,0
12051510,andresgongora,2,0
12057118,zainab-ali,4,0
1207107,nashamri,2,0
120730895,iam-angel-val,1,0
12073499,GrumpyMeow,4,0
120808662,tulilirockz,4,0
1208273,luxzeitlos,13,0
120901234,atalii,11,0
120991075,brahyerr,4,0
120999089,tranquillity-codes,4,0
1210,paulsmith,2,0
121009904,penalty1083,7,0
1211003,fbergroth,4,0
12110829,j4ger,2,0
121178,raphaelr,93,0
121212349,sanxus,1,0
121238257,abeltavares,4,0
12123860,palkx,2,0
1212392,edouard-lopez,1,0
12128029,babariviere,10,0
12128106,marcin-serwin,265,0
1212814,peterwilli,2,0
1215104,twz123,32,0
1215331,mattmelling,66,0
1215623,wildsebastian,2,0
121565493,JillThornhill,21,0
121581793,drainpixie,3,0
12160,kirillrdy,312,469
1216657,mpickering,3,0
1216662,mdwn,1,0
121690516,h-banii,2,0
121742,chaos95,2,0
1217680,aacebedo,64,0
1217745,Avaq,1,0
1217934,romildo,966,547
121795280,zacharyarnaise,1,0
121918198,ulic-youthlic,3,0
12192670,jakeschurch,4,0
12197024,Rutherther,5,0
1219785,picnoir,86,58
12198657,pca006132,10,0
12199265,mi-ael,3,0
12203894,ryanseipp,1,0
1220572,ctheune,9,0
122093031,salpelter,3,0
122097069,bravesasha,2,0
122112154,elpdt852,2,0
1221721,atcol,1,0
1221761,Nickolaus,1,0
1221984,999eagle,175,0
1222,avh4,6,0
12223583,Jasper-Ben,1,0
1222362,cript0nauta,3,0
12224254,D4Delta,2,0
1222865,lebensterben,5,0
122305437,PedroManse,2,0
122319,unode,1,0
12239057,Shawn8901,203,0
1224006,nilp0inter,1,0
122502655,joelkoen,5,0
1226345,mroi,1,0
1226384,sagikazarmark,28,0
1226638,artemist,45,11
12270,groves,1,0
12272702,Massolari,5,0
1227519,waldheinz,12,0
12277070,lucia3e8,62,0
12279531,rguevara84,2,0
122799969,woojiq,7,0
1229027,ajs124,1054,589
122977,apeschar,7,0
123140,obreitwi,7,0
123173954,Oughie,3,0
123339450,jed-richards,2,0
123373126,MikeHorn-git,9,0
12344579,matthewmazzanti,2,0
123449653,saltrocks,1,0
1234956,n8henrie,25,0
1235045,jcouyang,12,0
123515925,g-re-g,3,0
123550,andresilva,134,105
123554,Videl,9,0
12355715,timblaktu,2,0
123584613,QuietSeeker,2,0
123624726,joshprk,6,0
12368920,leetemil,1,0
1237862,oliverbunting,1,0
12380026,johannwagner,13,0
12381484,kevinrudde,4,0
123851717,ktrinh-anduril,3,0
12386805,chuahou,9,0
12387834,ayushkarnawat,5,0
123883702,thiloho,8,0
1239089,stevecheckoway,1,0
1239097,bcc32,31,0
12398140,lilioid,13,0
1239929,Radvendii,69,21
1240253,Marlinc,2,0
1240398,goffrie,3,0
124075,dsyer,4,0
124129,aschmolck,3,0
124144608,Tibso,1,0
12422133,ufUNnxagpM,4,0
124278440,merrkry,25,0
124298,voidus,6,0
12436128,dacioromero,5,0
124387056,DaniD3v,4,0
124390044,sweiglbosker,6,0
12442942,ryanorendorff,3,0
1244517,Tillerino,7,0
124475,liff,109,0
124545,acowley,10,5
12461256,scarlet-storm,2,0
124643,dotNox,5,0
12465195,ambroisie,186,113
1246619,colonelpanic8,4,0
1246752,madonius,3,0
12470950,alex-nt,3,0
12480453,Noodlez1232,9,0
12483662,peng1999,2,0
12484955,COLAMAroro,10,0
12502988,spikespaz,21,0
12503689,valff,1,0
125147422,salko-ua,1,0
125161677,KashunCheng,1,0
125174,mcdonc,35,0
1252547,jokogr,1,4
1253071,jdreaver,8,0
125365236,TBWanderer,2,0
125415641,quinneden,2,0
12542087,TheDelus,1,0
12545914,dinckelman,1,0
125476238,thattemperature,4,0
1254842,Erethon,59,0
12560461,FliegendeWurst,764,1501
125610892,bolives-hax,20,0
125634066,lgbishop,3,0
125681538,phucisstupid,3,0
1257060,docbobo,3,0
1257580,TyberiusPrime,1,0
12595971,symphorien,392,611
125963674,acuteaura,1,0
12596700,Wykiki,1,0
12601822,moritzrickert,1,0
1260687,obfusk,1,0
1260727,Hjdskes,8,0
126072875,nova-r,6,0
126119280,gaykitty,26,0
1261448,mortymacs,1,0
12615679,Br1ght0ne,3,42
126188437,crayor1,5,0
126190943,nakibrayane,4,0
12620257,nipeharefa,4,0
12630657,hertrste,8,0
12633081,MichaelCDormann,3,0
126339,domenkozar,173,561
1263519,ivanovs-4,2,0
12636891,smasher164,13,0
126388106,summersamara,15,0
126404029,uoleg,1,0
1265189,choreutes,1,0
126529524,acuteenvy,24,0
12652988,donn,2,0
12656521,Korny666,8,0
126628446,buttergrillcorn,1,0
126663376,austin-artificial,2,0
12666617,ThePuzzlemaker,2,0
1267527,locallycompact,5,0
12686813,toadjaune,2,0
12689380,vsharathchandra,4,0
1269177,josephst,22,0
12701492,dereklhansen,1,0
127038896,octodi,11,0
12714892,scraptux,86,0
12715461,fuzzdk,2,0
12719642,DetermineAbsurd,1,0
12733495,SeTSeR,3,0
127353,ghuntley,8,0
12738442,critbase,2,0
12748782,Noodlesalat,4,0
127523,baracoder,2,0
127546159,Quince-Pie,10,0
127548,nyarly,4,0
12761234,idabzo,8,1
12765618,asbish,2,0
127663368,bicodrex,1,0
1276854,workflow,9,0
12773269,marenz2569,2,0
12773748,jugendhacker,14,0
127973,lontivero,3,0
1279939,dbeckwith,4,0
1280118,tmarkovski,6,0
12806014,ndarwincorn,4,0
1281131,joshainglis,2,0
12815411,detroyejr,35,0
12817571,thomasjcf21,1,0
12820484,jankaifer,2,0
12820770,babbaj,14,0
12821230,rjpcasalino,5,0
12831947,arielhernandezmusa,1,0
12834713,dr460nf1r3,5,0
1283854,icewind1991,15,0
1284324,Ninja3047,1,0
1285248,BobobUnicorn,1,0
128536,sjamaan,1,0
12855406,mingmingrr,4,0
12857160,mrcjkb,108,0
128574883,lions-tech,1,0
12858057,arjunkathuria,1,0
12858105,fetsorn,53,0
128620,kototama,5,0
128620044,0x50F1A,2,0
1286668,sengaya,2,0
12872927,jqqqqqqqqqq,3,0
1287639,tomeon,3,0
12877905,rvolosatovs,17,0
128792625,Alexis-Lapierre,1,0
12882091,SamLukeYes,49,0
1288216,JojOatXGME,82,36
12898828,kloenk,47,0
1290303,picogeyer,3,0
129101708,MrSom3body,12,0
129123448,jbotwell,1,0
1291396,arnarg,3,0
129147822,Gold3nb0y,1,0
129148,tadfisher,12,0
12918431,geekodour,2,0
12923,astro,152,0
1292734,yaitskov,1,0
1295100,davidtwco,24,0
129525,silky,1,0
12958979,autophagy,8,0
129636582,Gliczy,298,0
1297357,gshipunov,5,0
129742207,bclement-ocp,4,0
1297598,LunaBorowska,74,0
1298344,danielfullmer,17,0
12984845,SubhrajyotiSen,61,0
12991097,georgefst,3,0
1299717,dnaq,2,0
13005,evandeaubl,1,0
13007345,rake5k,3,0
130103,JohannesRudolph,1,0
130177017,raininthemist,1,0
1301843,schoettl,3,0
130256,paveq,1,0
13026,titanous,5,0
13030387,n0099,1,0
13031455,wheelsandmetal,2,0
130330360,Devitzer,1,0
13033392,konradmalik,42,0
1304536,rschulman,1,0
130508846,de11n,80,0
13051868,gaerfield,1,0
130567419,BlankParticle,11,0
13058701,wpcarro,5,0
1307061,Netruk44,4,0
130745,kristofferkoch,3,0
130835755,0x120581f,2,0
13085918,budimanjojo,8,0
13085980,andys8,2,0
13087841,jolars,10,0
130903,Hoverbear,16,0
1309157,joostn,1,0
130931508,dav-wolff,6,0
131002498,clemjvdm,3,0
1310395,TravisWhitaker,1,0
1310468,jonocodes,2,0
13106547,RikudouSage,1,0
1311192,yl3dy,48,0
131159000,twitchy0,5,0
131195812,tye-exe,2,0
1312006,ggreif,12,0
131223787,cueaz,1,0
13129552,tarantoj,4,0
1313584,cocreature,5,0
1313624,greizgh,24,0
1313787,Gabriella439,86,27
13139101,wietsedv,12,0
13139371,mradkov,1,0
131429636,bzadm,10,0
13144078,jonathanfishbein1,9,0
